,chat
2,귀걸이
3,칭찬
4,받았졍
5,오오오
6,아영
7,귀국
8,언제
10,오늘
12,비향기
14,으어
16,아쉽게
18,완전
21,프사
24,예쁘자
26,이이이잉
28,이이이잌
29,죵말
33,요즘
34,발은
35,어땡
36,붓기는
37,많이
38,빠지는
39,중이지만
40,의사쌤한테
41,혼났당
43,이제
44,한의원
45,맨날
46,가여해
48,그렇구나
51,색은
52,아직도
53,보라보라야
54,아니
55,아니
56,이젠
57,노란색도
58,있엉
62,미쳤다
65,미단
66,어떻게
67,생각해
68,금공강
69,포기하고
71,텃밭
72,기르러
73,가는
75,아침형
76,인간이야
79,듣고
80,싶은
81,수업들이
84,하지만
85,아영
86,이번에
87,나는
88,저녁형
89,인간
90,학점
91,넘게
92,들어
96,아마도
98,아니
99,원래
101,금공강
102,할려
103,했는데
104,멋져
105,당신
107,나는
108,한번도
109,받아본
111,없는
112,추가학점
116,도시농부학교
117,넘나
118,꿀잼같아
119,보여서
120,근데
121,저기서
123,빼고
124,교직
125,들어야
126,할듯
128,저거
129,도시농부
130,생각해보니
132,몇학덤이야
133,응응
134,저거
135,학점
137,호오
139,재밌겠다
141,자유
142,이수야
143,저거
145,배움핫점제
146,페논페얌
148,수업도
149,아씨
150,나도
151,저거
152,들을깤
154,월에
155,끝나구
156,같이
157,듣자
158,가서
161,시간표가
162,세상에서
163,제일
164,최악이야
165,오오
166,농부가
167,되는
168,거야
171,한달에
172,한번
173,정도
174,가평
175,가서
176,텃밭에
178,뿌리고
180,뿌리고
181,온대
184,존잼이게
187,저거
188,들으면
189,목요일에
190,맨날
191,아영이네에서
192,잘듯
196,지금
197,시간표
198,어케
199,되는데
201,이거라구
203,화목
204,국캼이야
205,미쳐찌
207,확랸
208,근데
209,들어야
211,핫점
213,저기에
214,교양
215,하나
216,넣어야
218,아항
220,이제
221,학년
222,올라갈수록
223,교양
224,들을
226,있는게
227,점점
228,줄더라
230,슬퍼
231,맞다
234,진짜
235,확랸
236,다음
237,학기에
238,들을까
239,고민중
240,아영
243,일정
244,브리핑해봐
246,만나게
247,키키
248,확랸이
249,뭐양
251,아직
253,일정
254,없졍
255,고당
257,애들이
258,국내
259,여행
260,가자고는
261,했는뎅
262,아직
263,아무
265,없넹
268,톡방
269,다시
270,초대해줭
272,확률고
273,덤변수
274,수업
277,오키
278,시간표
280,다시
281,짜야징
282,라항
283,아할
284,아항
285,너도
286,금공강을
287,노리고
288,있었구나
290,근데
291,지금
292,금공을
293,할까
294,텃밭
295,키울까
296,고민이고
298,다른
299,고민은
300,교양이야
301,듣고
302,싶은
304,건강한
305,노화
306,사라
307,뇌의
308,이해
309,약과
310,건강인데
311,뇌랑
312,약이
314,빡셀
316,같아
317,건강한
318,노화보다는
319,뇌를
320,듣고
321,싶공
325,이번에
326,겨양
327,듣는다
330,들으려고
331,이번에
332,행신생
333,분신생
334,들으니까
337,근데
338,정말
339,너무
340,어려워
341,아영
342,시간표
343,오또캊
346,교양
347,하나만
348,넣으면
349,되는
351,아니야
353,이제
356,마죠
357,또르륵
358,행신생
359,분신생
360,들어야지
362,모위물
363,듣고
364,싶렀는데
365,이번에
366,워낙
367,시끌시끌했어서
368,못담겠
369,아아
370,그건
371,그렇지
373,나는
374,모위물
376,만들어진
377,해에
378,들어따
379,아영찌
380,공부하기
381,싫엉
382,월요일에
383,시험이라
384,지금
385,스벅이야
387,이리
388,이이이이이잉
390,그래두
391,좀만
392,버티먄
393,종강이얌
394,으어어어어
396,맞아
398,아영
399,남자친구랑은
400,어때
401,히리
402,별일
403,없디
404,응응
406,발때메
407,못만나는
408,것난
409,빼면
410,팔자에도
411,없는
412,견우와
413,직녀
415,개웃곀
417,아영
419,번호따였엉
420,월요일에
422,아영한테
423,처음
424,말해
425,하허허허허할
426,허러
427,허럴
429,근데
430,내가
431,말햌
433,어디서
434,어어
438,저번
439,선형대수
440,때에도
441,계절
442,듣다가
443,허러
444,따였는데
445,계절
446,디박
447,그때
448,따가신
449,분은
450,디박디박
451,응응
453,연상인데
454,지금
455,분은
456,한살
457,위인데
458,잘생긴던
459,아니구
460,고냥
461,동그란
462,안경
464,공대
465,느낌
466,근데
467,어차피
470,출국이니까
472,그냥
473,부담없이
474,밥먹고
475,같이
476,공부하고
477,그러는
481,좋아
483,좋아
484,약간
485,트라우마
486,때문에
487,어때
488,괜찮은
489,사란
490,같아
492,맞아
494,지난
495,겨울에
496,현타
497,어지게
498,왔는데
500,부담없이
501,만나보는
503,진짜
504,좋은
507,그치
509,아휴
510,내가
511,그때
512,망했지
513,않나
520,트라우마
521,때문에
522,어떤거
524,지난
525,겨울에
526,맞아
527,맞아
528,되게
529,좋은
531,같았는데
532,알지앟지
534,겁나고
535,옛날
536,생각나서
538,그랬다구
539,엉엉
540,역시
541,그래서
542,그때
543,기회는
545,왔어
546,앛으로는
547,그러지
548,말아야
549,겠다고
550,생각했는뎅
551,응응
552,그래
553,이게
555,한번씩
556,경험하고
557,후회
558,지난주에
559,나한테
561,빌렸던
562,분이었는데
563,그러고
564,나서
565,뭔가
567,주위를
568,서성이는
570,느껴쟜었는뎈
572,월요일에
573,수업
574,끝나고
575,중도
576,가는
577,길에
578,물어보샸엉
579,수업
580,같이
581,듣는다고
582,친해지고
583,싶은데
584,번호교환하자고
587,내가
588,보기엔
589,펜도
590,엄청
591,근데
592,사실
594,취향은
595,아니긴
596,하고든
597,얼굴
598,너무
601,고민하고
608,그런가
609,아니
610,처음에는
612,응응
613,약간
616,애가
617,꼬여가지고
620,한창
621,자존감
623,낮을
625,응응
626,누가
628,번호
629,딸때마다
630,쉬워
631,보이나
632,내가
633,그렇게
634,만만해
635,보이나
636,하는
637,나는
639,생각
640,들더라
641,맞아
643,그앴는데
644,맞아
646,아영이가
647,고민하다가
649,남자친구
650,번호
652,생각하니까
653,내가
654,못되쳐먹었다는
656,알게
657,되었어
661,엄청
662,긴장
665,사람도
666,그랬을
667,거얔
669,글서
670,가벼운
671,만남
672,정도
673,인건가
674,지금은
675,웅웅
676,그렇지
677,끼야아아악
678,전자공학과
679,이고
681,같이
682,먹었다궁
685,오호
686,그럼
687,수원캠
689,지닌
690,학기에
691,복학하고
692,웅웅
694,맞네
695,수원캠이지
699,삭제된
700,메시지입니다
701,수여일에
703,같이
704,먹었고
705,근데
706,괜찮았어
707,끼야아아아아악
709,아직
710,이성적인
711,감정은
712,모르겠고
713,사람으로서
714,그냥
715,친해졌어
716,많이
717,괜찮았구나
719,웅웅
720,사람은
721,좋은
723,같앙
726,통해
730,웅웅
731,근데
733,이게
734,디박디박
735,응응
736,나한테
737,사심을
738,품기
739,때문에
740,좋은
741,모습만
742,보여주는
745,수도
746,있지만
748,아하
749,주위
750,인간관계가
751,원만한
753,같아서
754,괜찮은
755,사람
756,같구낭
757,그리고
759,오빠
761,스노우보드
762,동아리
763,하고
767,디박
768,방학부터
769,운동하는
770,남자
771,암벽
772,배우고
773,있대
775,정도면
776,괜찮지
778,약티비티
779,좋아하나봐
780,자기
781,관리도
782,엥간
783,그칭
784,인정인정
785,그래서
787,사실
788,나이
789,먹고
790,있는
791,증거인가
792,싶은게
793,인스타도
794,스무스하게
795,맞팔하게
796,되었고
797,자기
798,관리하는
799,사람이
800,좋더라
802,스무스하다
803,에타
804,시간표까지
805,해버렸다
806,좋다
811,디박
812,그치
813,그치
814,그치
815,자기
816,관리나
818,확실한
819,취미
820,중요해
821,맞아
823,사람이
824,확실한
825,취미가
826,있어야
827,허튼
828,짓거리를
829,안한다고
830,건전한
831,생활
834,인정이야
837,게인더
838,게임도
839,취미로
841,맞아
842,인정해줘랴
843,할까
847,나는
848,전남친
849,인정해줬어
851,오호
852,나는
853,왜냐면
854,좋아
855,응응
856,나도
857,그만큼
