,chat
1,모혜
4,안머거
6,엄마
9,전화해보려구
10,오오
11,어머님께
12,안부
13,전해죠
15,어케이
17,키키
18,예디
19,요즘은
20,별일
21,없어
22,고민
26,왜애
27,애애애애애
28,몬일이
31,사소한
32,고민임
33,왜왜
34,연애를
35,다시
36,시도할
37,의향이
38,생겼다고
39,했잖아
41,근데
42,어제
43,번호를
44,따여서
45,연락을
46,시작했는데
48,진짜
49,결론부터
50,말하면
52,취향은
53,아니거든
59,전자공학과
60,사람인데
65,초반인
67,같고
68,안경
69,썼음
72,그건데
73,공대
74,남자
75,맞아
76,공대의
78,어리버리한
79,느낌인데
80,부담스럽지
81,않게
82,노력하는
84,보이는
86,맞춤법
87,사소하게
88,거슬리고
89,그럼
90,걸러라
93,이런
96,별로면
97,걸러
98,사실
99,차음에도
100,어차피
103,여행가니까
104,가뱝게
105,연락하다
106,끊어야지
107,햌는데
109,어냐면
111,너무
112,감이
113,떨어져서
115,결론
116,부타
117,말하면
118,내일
120,먹자고
122,먹으러
123,갈까
124,말까
125,고민
126,시간
127,아까움
128,하긴
129,인정
130,귀찮은데
131,연락도
132,끊을까
135,이렇게
136,이번
137,생에도
138,연애는
139,글렀다
142,나랑
144,나랑
146,나도
147,고민이
148,있어
149,미단아
150,엄마가
151,많이
152,아파
153,그래서
154,뭐하기가
155,미안해
161,어머님이
166,어디가
167,어떻게
168,아프신데
172,자궁암
173,의심대서
174,조직검사
175,받았어
177,웅웅
179,겅과
180,나왔어
185,아니
187,카톡
188,내일
189,나온대
190,내일
195,너무
196,떨리겠다
197,미쳤다
201,잘될거야
202,내가
203,진심으로
204,기도할게
206,자궁
212,어머님
214,어떡해
218,일주일동안
219,결과
220,나오면
221,전화해줘
223,웅웅
225,고생하는
228,흐규흐규
232,마음고샹
233,많았겠다
234,혼자
237,괜차나아아아아아아아
239,예나는
240,요즘
241,엌대
242,오땨
243,예나
245,똑같지
249,그렇구나
251,내일
252,혼자
253,있어도
254,괜찮겠어
255,영통
256,올거면
259,먹고
261,공부하고
263,책보게
265,내일
266,일이야
267,하하하하하
268,그리고
269,내일
270,미팅도
271,있어
272,하하하하하하
273,세상에
274,미쳤네
275,요즘
276,오빠는
277,어뗘
278,다시
279,좋아졌어
280,나한테
281,부터
282,까지
283,다행이네
286,맞춰
288,한번만
290,오빠
291,하인됨
292,아니다
293,싶으면
294,걸러
298,어머님
299,결과
300,나오면
302,연락줘
303,제발
304,알겠오
306,내일
307,젅화
308,할게
309,저녁에
310,밤에
311,노상관
312,오키
314,미도
316,기도중이다
317,즐데해
322,개웋경
325,연락
326,안해
327,엄마랑
328,연락
329,안돼
331,엄마
332,전화
333,앙받아
335,진짜
337,뭐지
344,아버님은
348,아빠도
351,뭐지
354,연락이
355,안되지
356,진짜
357,걱정되게
359,연락
360,오면
361,진짜
362,바로
363,연락해야
365,알았지
369,오키
371,그거
372,말고는
373,별일
374,앖고
377,심란
379,자체
381,하긴
382,진짜
383,그렇겠다
387,예나
388,눈은
390,어때
394,예나
395,오늘
396,경민이네
398,아닠
400,완전
401,괜찮
404,나았다고
405,가버리네
406,개색
409,개웃경
411,힝구힝
414,오늘
415,계절
416,마지막
417,수업이야
420,오늘
421,복날이
422,자마
423,월요일에
424,시험친댜
425,맞아
426,오늘
427,전곡
429,가서
430,치킨
431,조져야지
432,너는
435,가서
436,박예나도
437,조져주라
440,예나
441,나는
446,박예나
447,얼굴이라
449,보고
454,아마
455,그래야게쯤
456,전곡
457,피시방에
458,있을듯
460,아닠
462,오키
463,오킼
467,나한테
469,넣어따
470,젛아
473,기여워
476,애옹
478,오옹오오오오오오오오옹
479,오늘
480,복날이
482,오오오오오오오오오옹
483,꺄아아아아
484,치킨
485,먹냐
486,아니
487,집에
488,있을
489,건데
493,오늘
494,머해
496,그냥
497,그림
498,그리고
499,있지
501,오오
502,보여줭
504,키키
505,나는
506,공부중이야
509,티키
510,타카
511,눈알
512,빠지는
515,쩐다
517,능력자인데
518,깨알
519,방랑벽
521,미단
523,아아
525,오늘
526,복날인데
528,오늘
529,선약만
530,없었어도
531,집에서
532,치킨
533,수원역
534,뛰어갔댜
535,시켜묵어야지
539,좋앙
541,저거
542,오구
545,기엽다
548,아이잉
549,오구오구
550,키키
551,기여워
554,나도
555,아이패드
556,사면
557,바로
558,그림이야
561,개조아
562,같은
563,그림
564,맨날
565,그리
568,진짜
569,신남
572,진짜
573,아이패드
574,사면
575,인스타툰
576,그릴지도
577,몰라
581,구독
582,좋아요
583,부탁드려요
584,팬매니저
585,개웃경
589,돈이
590,문제야
591,키키
592,마아
593,항상
594,돈이
595,문젲
596,고로
598,쿠팡런이다
601,몸상해
604,별일
605,없냐
606,업서
608,휴가
611,기여운
612,감자도리
614,아앙
615,기여운
616,미미
617,보구
618,시퐁
620,나두
627,너무
628,쓰레기인지
629,들어줘
633,저번에
634,번호
635,따인
636,사람
639,오빠랑
640,친해졌거든
642,근데
645,물론
647,사람에
648,대해
650,아는
652,아니지만
653,사람이
654,순진한
656,느껴진다고
657,해야
658,할까
660,원래
661,연애할
663,진지충인데
665,가볍게
666,알아가야지
667,이런
668,누낌으로
669,연락을
670,이어가고
671,있는데
673,오빠
675,엄청
676,진심인
678,같아
680,어떤데
681,오늘
682,영화
683,보고
685,먹고
686,왘는데
689,내일
690,출국이
691,짆아
693,데이트했죠
697,그냥
698,내가
699,자기를
700,어떻게
701,생각하눈지
702,궁금하다고
703,나도
704,알다시피
705,자기가
706,나를
707,좋아하는데
708,뭔가
709,이런
710,얘기를
711,꺼내지
712,않으면
714,여행
715,다녀오면
716,흐지부지
719,같다고
720,그랬어
721,그래서
723,그냥
724,나는
725,알아가는
726,단인
728,같다고
729,했거든
730,근데
732,마음은
734,나쁘진
735,않는데
736,외모가
737,약간
739,취향
740,아니고
742,안경쓴
743,사람
744,안조아하자나
745,안잘생
746,그리고
748,그냥
749,동그란
750,안경쓰고
751,덮은
752,머리한
753,느낌
754,근데
755,나는
759,여행가서
760,혹시
761,누구랑
763,맞을
764,수도
765,있는데
766,존나
767,그런
768,가능성을
769,열어두고
770,싶고
771,근데
772,만약에
773,그런
774,일이
775,안생기면
776,연애는
777,하고
778,싶으니까
780,오빠를
781,만날
783,같긴
784,하고든
785,국캠에
786,아는
787,사람
788,엊눈데
790,이오빠랑
791,씨씨하고
792,챙겨주면
793,꿀이니까
795,너무
796,쓰레기지
798,아니
799,그넫
801,어니면
802,지극히
803,정상인데
804,이런
805,얘기
806,아무데도
807,못해
809,아싸
810,존나
811,지극히
812,정상인데
813,나는
814,솔기히
815,처음
816,보고
817,만나서
818,밥먹고
819,영화
820,많이
821,밨거든
822,연락만
823,하던
824,사람
825,르이랑
826,너처럼
827,웅웅
828,근데
831,기준이
833,만나보고
834,다음을
835,약속
836,하고
837,싶으냐
839,또는
841,먹고
843,영화
844,보는
845,와중에
846,빨리
847,집이
848,가고
849,싶다는
850,생각이
851,드냐
852,이게
853,기준임
854,나는
855,그거야
856,굳이
857,내가
858,먼저
859,약속
860,잡는
862,아직은
863,모르겠고
864,만나자고
865,하면
867,하고
869,가고
870,싳다는
871,생각은
872,안듦
873,성격이
875,맞아서
876,어렵
877,그런
879,만나바
880,그게
881,진짜
882,있어
884,근데
885,뭔지
886,알지
887,만나면
889,가고
890,싶은
891,사람
893,아니
895,봤는데도
897,그런
898,분위기가
899,있어
900,개웃겨
903,그럼
904,그냥
905,손절
907,번호
908,줘놓고도
909,아차싶은
910,사람도
911,있다고
913,번호
914,줘노고
916,가을에
918,만나보고
921,가고
922,싶다
923,하면
926,외국인한테
927,번호
928,따인
930,말했니
932,사람이
933,그랬어
938,내가
940,안했냐
942,개웃
943,호선에서
946,무려
947,백인
948,남자였다곸
950,외국니
951,먼데
955,우즈베키스탄
956,새램
958,하악
960,일단
961,번호
962,줬는데
963,양키
964,한살
965,위얐는데
966,외국니도
967,카톡하냐
968,너무
969,만나자고
970,칭얼대는
971,느낌이라
973,스냅챗
974,안하고
975,그래서
976,그냥
977,바쁘다고
978,하고
979,손절했지
980,그때는
981,연애에
982,환멸나던
983,시절
987,사람
988,한양대
989,개웃겨
990,진짜
993,겨롼
994,학생
996,많은가번데
998,연애가
999,이랬어
1000,지금까지
1001,순탄하지
1002,않았다고
1004,알바하던데
1005,호거고곡
1006,미단아
1007,너가
1008,아무리
1009,스레기처럼
1010,굴어도
1011,머라할
1012,사람
1013,없어
1014,웅웅
1015,왜냐면
1016,사람
1017,마음은
1018,그치
1019,갈대거듬
1022,맞아
1023,솔기히
1024,경민오빠처럼
1025,그냥
1026,이런
1028,어디
1029,가서
1031,아닌
1032,날도
1033,이케저케
1034,어화둥둥
1035,당당하게
1036,까지만
1037,않으면
1038,되게
1042,웅웅
1043,이런
1044,남잘
1045,만나야
1046,하는데
1047,시발
1048,오디
1049,없너
1052,절망적
1053,눙물
1054,남자친구는
1055,요즘
1056,어뗘
1058,지내는
1060,다행이넹
1062,내가
1064,빡친
1066,같다
1067,하면
1068,바로
1069,미안해
1070,어머님은
1071,나옴
1075,엄망
1077,내일
1079,내일
1080,휴가가
1083,맞네
1084,내일이넹
1086,다들
1087,안부
1088,전해드리고
1091,가서
1092,너무
1093,너무
1094,너뮤
1095,너무
1096,아쉽다고
1098,알겠져
1101,새낑
1103,시간
1104,후엔
1105,비향기야
1106,와우
1107,도랐지
1108,올때
1109,맛난
1111,알제
1112,당연
1116,야아
1117,보구미
1119,다녀와서
1120,보자
1121,알간
1126,잘자라구
1128,너듀
1129,히히
1131,보이스톡
1132,해요
1133,보이스톡
1134,취소
1135,밈미
1137,일중
1139,업체
1140,미팅중
1142,정차
1143,중인데
1144,경치
1145,보여주고
1146,싶어성
1149,알아쪄
1150,힘내
1156,쿠팡
1157,됸나
1158,힘들다
1160,맴찢이여
1161,하아
1166,시간
1167,후에
1168,드디어
1169,횡단열차에서
1170,내려
1173,땟어
1174,열차는
1176,못씻는
1178,빼고
1179,좋아
1181,나중에
1183,풀게
1184,히히
1185,페이스톡
1186,해요
1187,페이스톡
1191,섀딩
1192,만든
1193,사람
1195,줘야
1196,한다
1199,미쳤다
1201,프사할래
1202,개웃곀
1203,대리만족
1211,화이팅
1214,아까
1218,뭐시기
1219,그거
1220,나야
1222,보여주고
1223,싶었다고
1224,에펠
1226,스팸
1227,인줄
1230,지금
1231,도리
1232,많이
1233,아파서
1234,병원
1238,그렇군
1241,비행기
1244,응급센터
1246,어디로
1248,이제
1249,한국
1251,빠리와
1258,예지
1260,도리
1261,안락사
1262,안시켰고
1263,물약치료
1264,할거야
1265,그롷구나
1266,괜찮겠어
1268,도리가
1269,일주일만
1270,버텨줬음
1271,좋겠더
1273,너무
1274,마음이
1275,아파
1276,예지
1277,모해
1278,도리는
1279,어때
1280,너네
1281,학교
1283,인업
1284,알려죠
1288,알아맞춰보세효
1289,오오오오오오
1291,누그게
1292,궁그매매야
1294,알려죠
1295,식케이
1296,삼디
1297,후디
1301,미친
1302,가야지
1303,갈게
1304,재워줄겨
1305,당연
1306,한걸
1310,조아아
1313,친구
1314,구해보께
1316,에브리타임에서
1317,심미단님이
1318,친구가
1319,되고
1320,싶어
1321,해요
1322,친구
1323,맺고
1324,심미단님의
1325,시간표를
1326,확인해보세요
1327,아싸
1328,오늘
1329,예디네
1330,가는
1333,느데
1334,오늘
1335,과제
1336,개마
1337,노아서
1338,과제이빠이
1339,할듯
1340,눙물
1342,컄컄
1345,가면
1347,시쯤
1348,되지
1349,않을까
1350,언제쯤
1354,폰케이수
1355,들고
1356,가께
1362,사가까
1363,미친
1366,이거
1367,타야해
1368,내일
1372,빨리
1375,눙물
1377,끝나자마자
1378,갈겡
1381,잡고
1382,가면
1383,되겠따
1384,버스기달는
1387,잉잉
1390,시수업이라
1391,학교와
1393,수업으들을
1395,마다
1396,드는
1397,생각
1398,고등학교
1399,학년
1400,고등학교
1401,수업마냥
1402,시간표
1403,짜주고
1404,눙물
1405,모자
1406,쓰면
1407,안되고
1411,대학생의
1412,자유는
1413,없는
1414,건가요
1416,진짜
1417,눈물이
1418,나녜
1419,또륵
1421,먹고
1422,옿고야
1423,곰인이야
1424,어떤
1426,편해
1429,암거나
1430,상관노
1433,저녁
1434,먹을거면
1435,나도
1436,먹고
1437,갈랭
1438,아니면
1440,같이
1441,먹고
1442,노상관이야
1443,고래
1444,그럼
1447,먼저
1448,먹을게
1450,배고파
1451,죽겠뎌
1453,그래
1454,그랰
1457,사가까
1458,아이수쿠림
1461,올때
1462,메로나야
1465,먹는데
1466,반주이기는
1468,출발할
1470,연락줄겡
1475,약국
1476,열었으면
1477,판콜
1479,사다조
1482,아파
1484,샵검색
1488,감긴가봐
1489,열남
1495,개오바냐
1497,오키오키
1498,사갈게
1499,몇동
1500,몇호야
1504,물론
1506,아직
1507,관악이야
1509,오케
1513,남자
1514,찐구랑
1515,게임하거이
1516,쓰께
1518,구래랑
1520,샵검색
1522,회기
1523,미래
1524,사주
1525,핳핳
1528,김진이랑
1529,같이
1530,있어
1536,모하냐
1538,오빠랑
1539,전화햏
1542,나랑두
1543,해조
1544,조아
1547,어제
1548,회의
1549,끝나고
1550,동대문
1551,환승하는데
1552,김진도
1553,동대문이라길래
1554,만났지
1555,잠깐
1559,나두
1560,보고파
1561,시험
1562,끝나규
1564,만나
1565,알겠찌
1567,이번주에
1568,한강난지
1569,공원
1570,당연허지
1573,웅웅
1574,오프루트
1575,페스티벌
1576,힙페
1577,여기
1578,알바감
1580,주말엥
1581,오오
1583,힘들겠다
1585,아닌가
1586,놀러
1587,가눈거쥐
1591,마니
1592,찍어올게
1594,조아
1597,미단이
1598,연애
1599,근황
1601,남자친구
1602,얼태기
1603,극복함
1607,어때
1608,요즘은
1609,남자친구랑
1613,지내지
1615,헤헿
1616,오늘
1617,일이래
1618,너넨
1620,지내
1622,아니
1623,쉬파
1625,솔로가
1626,최고야
1630,무슨
1631,일이야
1633,그냥
1634,너무
1635,편해져서
1636,설렘이
1637,없어
1638,호로롤
1639,롤롤
1641,설렘을
1642,찾아
1643,떠나고
1644,싶다
1646,권탸로
1648,눙물
1650,너무
1651,편해졌어
1655,이제
1656,당분간
1657,안만나니까
1659,생활에
1660,집중해야
1663,좋아
1664,좋아
1666,흑흑
1667,도짱은
1668,아직도
1670,지내시지
1671,당연하지
1674,대구에
1675,있어
1676,지굼
1677,출장
1678,가써
1679,개월
1682,아아
1683,맞다
1684,맞다
1685,그래
1686,그래
1688,흫헣호
1689,그동안
1691,생활에
1692,집중하고
1693,그래
1694,히히
1695,나도
1696,이제
1697,숭먹고
1698,놀테냐
1699,꺄아
1700,놀테야
1702,시험
1703,끝나고
1704,에버랜드
1705,갈래
1707,조아
1709,호러
1710,사파리
1711,존나하고
1712,시퍼
1715,그랭그랭
1719,알아쎃
1720,월요일
1721,시수업
1722,우리
1723,화이팅
1729,나랑
1730,전화
1731,언제
1733,그니까
1734,어디야
1735,여수야
