,chat
0,옷까지
1,신경
2,쓰는
3,그의
4,관심
5,어썸
6,옛다
7,서영
9,오우야
10,재홍이
12,뽀짝한거
15,명기
16,식아
18,이제
19,잘게
20,서영아
21,잘못
22,왔어
23,안녕
24,여기가
25,아냐
26,여긴
27,동사팟이야
29,러게
30,미단아
31,미안
33,아냐
34,아냐
35,아냐
36,언능
37,명식이한테
39,넣고
40,자라
42,올바르게
43,카톡햇다
46,용훈아
48,도착햇
49,잘했엌
51,슈치
54,이효정
55,노트북이
56,나에게
57,잇는지
58,누가
59,알려줘
61,기억
62,조각조각남
66,우리
67,시험
68,끝나고
69,일에
70,숳먹잖아
72,사려야
74,왜냐면
75,오빠
77,다음날
78,시험이
79,도라
80,일이
81,엇냐
82,몰랏네
84,아닠
86,진짜
88,지갑은
89,어디
90,간거냐구
91,서제
92,서영이
93,거하게
94,취했지
95,우리
96,꽃술가서
97,거의
98,정신
99,못차리곸
103,거하게
104,츼햇지
107,영하댘
110,영하가
111,사람이냐
112,아님
113,영상영하
116,영하냐
118,전자는
119,아니고
120,후자
121,이려나
122,나도
123,황금
124,올리브
125,먹고
126,싶른데
129,그날
130,국캠이냐
132,휴핟생인데
133,목요일이던가
134,휴학생
136,받을
138,잇나
142,받아야지
143,근데
144,이용훈
145,지갑
146,무슨
147,색이냐
149,연하늘색
151,하늘색이야
152,아련
153,파출소에
154,물어는
155,봣니
156,이제
157,물어보러
158,가려구
159,없으면
160,분실물
161,신고
162,접수
163,해여지
164,근데
165,귀찮아서
168,해준다는데
169,안된다하면
170,아빠한테
171,전화해서
172,바꿔달랰
174,내가
175,가줄게
179,어딘데
182,지나가는
183,길이거든
184,파출소
185,앞임
186,지금
188,근데
189,신고접수늠
190,본인이
191,있어야
192,하는
194,아니냐
195,그냥
196,분실물
197,확인하는
198,건데
199,신고는
200,너가
201,해라
202,거까지는
205,아니면
206,내가
207,지금
208,갈겤
210,가는
213,인터넷느로
215,수잇대
216,샵검색
219,신청해
226,지금
227,거기냐
228,알려주심
229,거기냐라니
231,파출솤
233,이제
234,나왓지
235,지갑은
236,없대
240,지갑은
241,없대
242,삭제된
243,메시지입니다
245,맴찢
247,여튼
248,서영
249,땡큐
251,쉐어
252,하우스
253,그녀
256,그녀
258,얘드라
265,먹을
266,돈이
267,없는걸
268,무슨
269,일리얌
271,먹으면서
273,깨달아버렸엌
276,개꿀잼
278,지갑도
279,없어서
280,현금
281,없다곸
285,여기서
286,노예되기
287,싫엌
289,천원으
290,빌려줄
292,있어
293,동구
294,얼른
295,아니
296,동구가
299,줘야
306,아님
307,미돈
308,만원만
309,빌려줰
310,동구한테
311,받으면
312,바로
313,줄게
315,전재산이
316,천원인데
319,해결
320,됏니
322,아닠
324,아니
325,서영
326,살여쥬
327,농협
328,맞냐
329,용훈
331,얼마짜리
332,먹는뎈
336,사리원
337,먹는데
338,군대간
339,친구
340,와서
341,사준다
342,해써
344,농협
345,맞아요
346,맞야고
347,맞맞맞맞
349,아껴
350,써라
351,맞마
352,잠자
353,잦마자
361,육군
362,삼사관
363,다니다
364,때려치우고
365,육군간
366,멍청이
369,긁어라
371,서영님
372,최고
373,넉넉히
374,보냇다
375,아껴
376,써라
378,멋져
379,감쟈해요
382,나라
383,지킨다고
384,음료수
385,주심
386,사장님잌
389,이런
392,받아보는군
394,농협
395,이거
396,맞음
397,맞아유
398,사장님
399,기여유셔
401,너무
402,착하셔
403,아아
405,출근하기
406,싫어
408,용훈
410,보냄
412,드디어
413,감쟈
414,배고파
418,화기에
419,레라
420,생긴
422,나만
423,몰랐냐
424,레라는
426,뭐야
427,이용훈
428,논란
429,안만들게
431,빨리
432,정정햌
436,알라면
439,장군집
440,옆에
441,있드라
443,개꿀
444,에휴
445,오늘
446,라이프
447,험난하다
448,아래
449,가게에서
450,열쇠
451,빌려서
452,복사하구
453,청운관
454,분실물
455,찾으러
456,갔다가
457,회기
458,주민센터에
459,민증
460,분실
461,신고하러
462,가구
463,난리도
464,아녀
466,화이팅이다
467,신기한게
470,마시고
471,취한
472,날은
473,모든
476,챙기는데
477,멀쩡한
480,잃어버렼
482,너무
483,안일하게
484,생각하는
485,건가
486,내가
487,여기다가
488,레알라면
489,추천하지
490,않앗냐
492,맞음
493,이용훈
494,뒷북
495,계란
498,주고
499,단무지에
500,레몬청
501,넣은
503,진심
504,사장님의
505,세심한
506,손길이
507,느껴진다고요
508,근데
510,알라면인
511,이유가
512,사장님이
513,레알
514,마드리드
515,팬인가
517,가게
518,안에
519,마크
520,액자에
521,걸려있더라
525,뒷북이었냐
526,사실
527,모든
528,톡을
529,읽지믄
530,않음
532,근데
534,톡방도
535,그렇고
536,사람
537,많은
538,톡방은
540,읽기
541,힘듦
542,마쟈
544,야호
545,굳굳
546,언제
547,된다는겨
549,되겠지
551,처리
553,되면
554,문자
555,준댔으니깐
556,그려어
557,아쉽네
559,하하
561,아쉬워
562,일이율
563,였는데
564,바로
566,갚을까봐
568,아닠
570,미쳤넼
576,이거
578,봐줰
579,뭔데요
580,실험실에서
581,봐도
582,되니
583,오랜만에
584,태연
585,듣고
586,있는데
587,신나는
588,노동요다
590,재미있는
591,광고야
592,와이
593,파인
595,개의
596,합작은
597,신나는
598,노동요디
599,파인
600,노래
601,좋쥐
602,나는
603,아니야
605,아이야
608,저랰
610,잇츠
611,낫파아아아아
613,저거
614,유툽
615,광고로
616,가끔
621,봤다곸
623,개웃겼어
624,그르냐
627,벌려고
628,하는
630,자로
631,쓰래
632,에서부터
633,느낌이
634,좋앗지
635,내가
636,유툽
637,프리미엄
638,안하는
639,이유
642,하지만
643,프리미엄
644,원한다구
645,요즘
646,나는
647,팝송
648,믹스테잎
649,만들어주는
650,유투버만
651,들어서
653,진심
654,듣고
655,있으면
656,치명적인
657,척하거나
658,궁둥이
659,비트할
661,있음
662,진짜
663,제목에
664,찰떡인
665,노래들만
666,담아주신다고
670,내적
671,댄스용
677,머리
678,계속
679,쓸어
680,넘기기
682,어니
683,뭐냐곸
687,스열
688,왘다가
689,요분
690,동영상
692,좋으니
694,들으면서
695,하려
696,해큰게
697,빨리
698,듣도록
700,배터리
701,없서
702,학회실
704,벌임
706,낄낄
707,나는
709,학회싱이라
710,못들어
711,지금
712,맨정신
713,아님
714,한달동안
715,한게
716,날라감
719,술마심
723,와우
727,하아
728,어카지
729,공부를
730,항까
731,너무
732,피곤한데
733,아오
734,시험
735,끝났다
736,이제
737,머리
738,속을
739,신경으로
740,채울
741,차례야
743,축하햄
744,무슨
745,소리죠
746,이미
747,신경으로
748,가득하시잖아요
750,디진당
754,집중력
757,근데
758,시험기간
761,핸드폰
762,좋잼
763,이라고
765,맞아
766,근데
768,배터리
769,없어서
770,학회실에서
771,충전하다가
772,고대로
773,집중
774,끝나
775,벌임
778,학회실이야
779,아까
781,다시
782,봤는데
784,용훈아
785,이거
786,대체
787,뭐였니
789,아니
790,그거
791,뭐얔
794,스열이지
797,곱창을
798,먹으러
799,왔오
800,부렵
802,짜장
803,우동
804,탕수육
805,다들
806,부자구만
807,부럽
808,강동구는
809,부자인게
810,아니라
811,저녁을
812,푸짐하게
813,먹은
815,부러운
817,같다
819,나도
820,이제
821,거렁뱅이라
822,월급날만
823,바라보는
824,사람들
826,다들
827,하루만
828,참아
831,개좋아
832,옥션이
833,열일하네
834,다행이다
836,아싸
838,이자
839,받는다
841,근데
842,옥션
843,좋다
844,나는
845,포인트러
846,환불
847,받음
848,동영상
850,우리가
851,좋아하는
852,영상이야
853,최신판
855,좋아
856,좋아
857,아니
858,따놓고
859,행복한
860,표정이
861,너무
862,웃기다
864,뽀짝
868,달빛
869,천사
871,발매를
872,열광하는
873,이유를
874,설명해줘야
875,한다네
876,눈물난다
877,당연한
878,것을
879,내가
880,세어봤는데
881,내가
882,이번주에
883,시험
885,개를
886,봤잖아
887,월에
888,남은
889,시험
890,개고
891,월에
893,월에
895,대체
896,과제
897,더라구
898,역시
899,사망년은
900,고되다
901,다들
902,고되지
903,다들
904,화이팅이야
906,탈주자
907,다들
909,입금
910,확인하시오
911,그려
912,확인힘
913,일요일
914,울엄니
915,생신이
916,신디
918,사갈까
920,삭제된
921,메시지입니다
922,축하드린다고
923,전해드려라
924,영양제
925,생신
926,축하드립니당
929,오늘
930,내분비만
931,시간
932,했어
933,근데
934,소화계
935,못끝낸게
936,킬포
940,모르겠다
942,오늘
944,산구조
945,했어
948,게이트
949,오지게
950,그렸다구
953,앤드
954,게이트
956,생리는
957,역시
958,양이
959,너무
960,많아
962,감짝아
968,혹시
969,상훈킴께서
970,이번
971,돼지
973,언급하신
975,없니
977,아직
979,없어
980,젖소
981,얘기만
982,하셨는걸
984,오키
987,우리
988,동네
989,돼지들도
991,죽이기로
992,했대
994,소롸
995,다하려면
996,시간은
997,필요하겠네
998,안돼
999,되지는
1000,오늘
1001,너무
1002,맛났어
1003,갑자기
1007,이대로
1008,가다가는
1009,돼지가
1010,사라닐
1011,거야
1012,이야
1013,신길역
1014,델리만쥬
1015,냄새
1016,솔직히
1017,사기임
1018,법적으로
1019,옆사람들
1020,하나씩
1021,나눠주게
1022,해야
1023,한다
1024,하지만
1025,맛은
1026,냄새보다
1027,못하지
1029,맛은
1030,드릅게
1031,없음
1032,동구스야
1033,우리
1034,행과
