,chat
3,서영서영
4,눈썹
5,문신
6,리터치
7,며칠
8,뒤에
9,받음
18,흐암
20,기억
21,안나는데
22,한달이면
23,적당하지
24,않나
27,한달이야
29,뒤에
30,받음
31,안되나
33,주도
34,할걸
35,근데
36,원래
37,한두달
38,정도
39,뒤에
40,할거야
41,아마
42,그럼
43,니는
45,얼마만에
47,근데
48,오빠
49,전역
51,아님
53,한달인가
54,카톡방
55,나가버려서
56,못찾게
59,오빠
60,고민이
61,있는데
62,들어바라
63,제주도
64,가자
67,월에
68,언제
70,노빠꾸
74,풀수케쥴
75,인디
80,고민
81,먼데
82,그래서
83,내가
85,말에
86,휴가고
88,나가고든
90,근데
91,개오래
92,나오네
93,휴가
94,첫날
95,하면
97,짱구로
98,휴가동안
99,지내는
101,오바지
104,짱구
105,며칠
106,가는데
107,들어갈
108,때하고
109,담에
110,나오자마자
111,리터치
112,받으셈요
114,종낭
115,고민이네
117,리터치
118,해도
119,짱구자
122,근데
124,짱구
125,별로
126,오래
127,안감
128,을매나
130,봐봐봐봐
132,진짜
133,기억이
134,안나
136,휴가
137,나와서
138,하고
139,휴가
140,복귀전
141,리터치
143,휴가
144,복귀전
145,하고
146,전역하고
147,리터치
149,나을
151,짱구
154,근데
156,전역하고
158,뒤에
159,유럽여행
161,사진도
162,짱구겠지
164,이게
165,직후임
167,아니냐
169,이게
170,일뒤
171,여행
174,같은데
176,오켕
177,그럼
178,후자로
179,해야긋당
180,고마웡
193,창원
199,재밌다
201,요새
202,저런
204,보면
205,한국
206,재밌어
207,오빠
208,머함
210,전역
211,언제
212,어노
213,눈썹
214,문신함
215,니니
217,유럽
218,갔다
219,와서
220,하거나
221,가기
222,전에
223,할라궁
225,나도
226,유럽가고
227,싶다
228,눈썹
229,문신도
230,하고
231,싶다
233,했자
236,해야지
238,년마다
239,하는
240,거야
242,그럼
243,그럼
244,지금도
245,남아있긴
246,한데
247,사람의
248,욕심은
249,끝이
250,없지
253,하지
254,말까
255,그럼
257,머리도
258,기르지
259,말고
260,눈썹도
261,밀고
265,오빠
266,일본일진
267,컨셉
271,그렇게
272,극단적이야
275,복학
276,서영
277,니는
278,컴공
279,복전임
281,소프트웨어융합학과
282,데이터
283,사이언스
284,트랙
287,희한하노
289,그런
291,오디서
293,으음
294,나는
295,엠생
296,트랙인
298,같은데
299,어떡하지
302,트랙
303,비전
304,괜찮던데
307,놀고
308,먹다
309,죽고
310,싶다
312,워라밸
313,개쩌네
316,레고쓰
317,물려받으면
318,안됨
320,레고학원
321,다니고
322,싶던
323,그거
324,오랜
325,꿈을
326,오빠가
327,이뤄줘
328,워라
330,지리긴
331,하는데
332,엄마
333,아빠
334,월욜
335,쉬고
336,두시
337,출근
338,일곱시
339,퇴근
340,미챴네
341,각이다
342,근데
343,엄마
344,아빠가
346,대학
347,졸업하면
348,학원
349,팔고
350,놀거래
351,학원
352,받아서
353,오빠가
354,하면
356,따구리
357,근데
358,우리
359,가족
361,놀고
362,먹는거
363,좋아해서
364,안줄듯
365,흠냐링
366,어짜피
367,파실거면
368,오빠한테
369,싸게
370,파시라
373,비싸던뎅
374,학원
375,내가
376,인프라
377,갖춘
378,상태로
380,빌려줌
382,넘기면
383,삼억
384,종조
385,하더라궁
388,건물값
389,아들
390,할인해서
391,빼구
392,얼마까지
393,대출
394,가능한데
397,주면
399,억은
400,내가
401,있어
402,한달에
403,백만원먼
404,나보다
405,가지고
406,부자네
407,나머지
409,줄게
411,빌려줄게
414,촌만원은
415,원양어선
416,바짝
417,땡겨서
418,벌어
419,올게
420,그거
423,가야됌
424,한번
425,가면
426,천만원
427,주면
428,천만원이믄
430,두세달
431,그러면
432,일년에
433,세달
434,그거하고
436,개월
437,놀면
438,되는
440,아님
441,근데
442,선장한테
443,뚜드려
444,맞고
445,원인불명
447,실종되규
451,무섭던데
452,박봉이네
454,아님
455,대마
456,들여와서
457,팔어
459,봉사활동
460,같은
462,하면서
463,살게
464,무료급식소
465,가서
467,먹고
468,봉사활동하고
469,오빠
470,근데
471,그러면
472,할머니가
473,주는
475,물밥에
476,김치
477,먹고
478,술은
479,어케
480,먹어
482,나랑
483,술은
484,원래
485,안먹는디
486,먹어
487,저야지
488,할짞할짝
489,정도는
490,소주값
492,잔슴
493,술은
494,오백원
495,엔빵이야
496,원래
497,정도는
499,엔빵
500,말구
501,먹은
502,양으로
503,이제
504,해주면
505,안되나
506,안되지
507,청량초
508,그네
509,밑에
510,파면
511,오백원은
512,자리값도
513,있지
514,구할거
515,같은디
518,오빠
520,구함
521,아니
523,아직
524,군인인디
525,말출
526,아님
527,맞움
530,구하셈
531,스피드가
532,생명이여
534,어제
536,자르하다가
538,먹었어
539,뭐야
540,저건
543,자르가
544,뭐여
545,랜덤
546,영상
547,채팅
549,몸캠이네
553,언호
554,이상한
555,것만
556,가끔씩
557,배워왔어
558,이상한
559,친구들
560,걸리긴
563,꿀잼
564,설치한다
568,구했는디
569,어노야
570,나만
571,정문이거든
572,방구
574,긍까
575,너도
576,정문
578,정문와
579,에바
584,방돌이
585,하면서
586,살건데
589,복층임
590,진서집
591,하루
592,그래서
593,우리집은
594,안됨
596,진우집
597,하루
599,고닥교
600,친구들
602,두개
603,상배집
604,하루
605,주말은
606,누나네
607,가서
609,얻어먹고
610,꿀이네
611,오때
613,월세로
615,해야지
622,짐은
623,어디
624,두는
625,거야
626,곳곳에
627,아님
628,동방
630,사물함
632,이제
633,내가
634,내년에
635,회장하는
636,대신에
637,행거랑
638,샤워
639,용품
640,둘라고
646,오빠
647,회장하게
650,회장해서
651,회비로
661,회비
662,코딱지만큼
663,이잖어
665,원양어선
666,땡기는
668,나을듯
669,원래
670,비린내도
671,간지지
672,코딱지만큼
674,있을
676,근데
677,오빠
678,코딱지만큼
680,총무
682,형이
683,여서
684,하는
686,진짜
689,준형이
691,명함
696,있을지
697,회장
698,모르겠네
699,되면
700,나도
701,제명
703,해주라
704,회비내면
705,해줌
706,니는
711,생각엔
712,말이야
713,다음
714,회장단
716,하면
718,딱일
720,같음
722,진서가
724,건너뛰는게
726,한발에
728,좋음
729,선배들한테
731,맡을게요
735,바꾸져
736,하면
737,닥후라니까
738,우리
739,아직도
740,욕먹는대
746,먹누
749,우리
750,들어오고
751,망텤
752,이라고
754,우리가
756,망쳤대
758,내가
759,회장해서
760,회비들고
761,휴학
763,해서
764,어그로
766,끌어줄게
778,휴학하고
779,회장하는
780,미친짓은
781,하지
782,말구
783,탈주
785,해주라
786,진서가
787,회장하면
790,꼬라지
792,다니까
793,저게
794,뭐야
795,안볼란다
796,나는
798,진서
800,한발
801,애정
802,언어
803,자앵
804,대단하네
805,장애
806,갠소했네
808,초록이
810,보내줌
812,저거
814,죠록이랑
815,봐주면
816,안돼
817,진서도
818,사이
819,안좋자
821,진서
822,레전드
823,찍음
825,아닌
827,같던디
828,그래
832,나는
835,후배들
836,인사
837,못하겠든대
840,애들
841,까진
842,갠찮고
843,작년
844,초에
846,뒤론
848,탈주해서
849,봐서
850,아무도
851,몰라
853,애들
854,페친도
855,오고
857,근데
859,이제
860,나도
861,걸고
862,한발
863,아님
864,해서
865,페북
866,친군데
867,저번
868,휴가
870,한발
871,사람들
872,인연
874,끊고
876,주차장쫃
877,입구
878,있자너
879,잠적할겨
881,거기서
882,문을
883,열면서
884,마주치는데
885,서로
886,누군지
887,아는데
888,인사
889,안하고
896,지나감
898,근데
899,복학하면
900,인데
901,한발
903,복학하면
904,하고
905,싶음
907,컨셉으로
908,갈건데
910,병신
911,컨셉
914,똥꼬선배
918,컨셉이지
924,한발
925,해야지
927,축구
928,안혀
930,하고
931,싶오
932,그러면
934,지누
935,진서
936,언호
937,병주
938,인감
940,진진병현
941,현은
942,뭐야
947,만제
948,맞네
949,회장단
950,현보
952,용산일
954,진서
955,언호
956,현보
958,외출
959,나와서
960,훈련
961,뛰고
962,가고
964,평택으로
965,옮겨서
966,근데
967,총무는
968,누가
970,훈련
971,못간다구
972,거리던데
973,총무
974,준형이
975,각인디
976,진서
977,병주
978,현보
979,준형
981,진우도
982,반탈주야
983,오빠
984,공부
985,졸라
987,나두
988,그럴라겨
991,상현이
992,오빠
993,씨파
994,붙으면
996,돌아오려나
998,소희
999,언니
1000,총무
1003,잘할듯
1005,누가
1006,하든
1007,나는
1008,안함
1010,시키면
1011,바지
1012,회장
1013,할거
1015,혜란
1017,창석
1018,용철
1020,셀프
1021,제명임
1022,나는
1023,일주일에
1024,훈련
1025,한번만
1026,나가구
1027,술자리
1028,내가
1029,가고
1030,싶을
1031,때만
1032,갈건디
1034,이런
1035,거는
1036,보고
1038,딱이라
1041,무죄지
1043,멋진데
1044,오빠
1045,신발
1046,벗고
1047,테이블에
1048,올리면
1049,안됨
1050,어노야
1051,아이해브퀘스쳔
1053,므고
1054,오빠
1055,자취핳때
1056,결국
1057,침대뺌
1060,침대를
1061,빼다닝
1063,그거
1065,안뺌
1066,귀찮아서
1067,뺄려고
1068,물어봤는디
1072,매트리스만
1075,같은데
1076,깔판
1077,사야
1078,되나
1079,사면
1080,좋쥐
1081,얼마
1082,안하던데
1083,근데
1085,사려니까
1087,간히
1088,좋은거
1089,사고
1090,싶어져서
1091,쓰다보면
1093,똑같음
1097,이게
1099,싼거
1102,저런
1104,아니어도
1105,내가
1106,봤던거
1107,머리
1108,맡에
1109,엘이디
1110,들오는거
1111,이십마
1112,넘이든뎅
1115,그거
1116,어켓
1117,케사
1118,몰러
1121,전에
1122,봣는뎅
1123,아니
1124,만원
1125,짜리
1126,비싸서
1127,어케
1128,사냐고
1130,오빠
1133,고민
1134,들어봐
1136,들어줌
1141,프레임
1142,저렇게
1143,살짝
1144,나무
1145,보이는게
1146,이쁨
1149,이쁨
1151,나무파레트
1152,같아
1154,파레트
1155,런거
1156,사셈
1158,두개
1159,사서
1160,위에
1161,침대
1163,가성비
1167,이게
1168,예쁘지
1169,않아
1172,저렇게
1173,보니까
1175,괜춘해
1176,보이는데
1178,뭔가
1180,신발장
1181,뭔가
1183,사우나
1184,의자
1186,느낌이
1187,지워지지가
1188,않는디
1198,몰라
1200,침대
1201,프레임
1202,괜찮은
1204,많은디
1206,거지라
1207,싼거
1208,살거임
1209,파레트
1211,니가
1212,보여준
1214,얼만뎅
1215,저거
1216,배송비까지
1217,오마
1219,저거
1220,칠마넌
1221,짜리
1223,배송비
1224,만오처
1226,일듯
1228,이래
1229,나도
1230,살깡
1233,근데
1234,침대보다
1235,싼게
1236,최고
1237,라텍스가
1238,편한데
1240,창원에
1241,있는거
1243,깔판
1244,위에
1245,라텍스
1246,갈거야
1247,깔거야
1248,택배
1249,보내기가
1250,너무
1251,번거로
1253,센치
1255,택배로
1256,보냄
1257,차로
1258,옮기게
1259,내가
1263,나는
1264,그런
1266,도전
1268,상상도
1269,못해
1270,봣누
1271,근데
1272,십오센치짜리
1273,라텍스면
1274,몇백마
1276,하자
1278,프레임도
1280,집에
1281,좋은
1283,사지
1285,두개
1286,있어서
1287,두개
1288,붙이게
1290,좋은
1292,사지
1295,책상
1296,조은거삼
1297,구경
1298,오셈
1302,어딘데
1303,흠냐링
1304,토마토
