,chat
0,떵떵
1,출근
2,잘했어
3,고럼
4,당연히
5,문제없이
6,퇴근
9,잘해따
10,성호야
12,공부
13,진짜
14,너무
15,하기
16,싫다
18,생각만
21,공부
22,할당량
23,정해뇌
24,못하면
25,못논다는
26,마인드
28,근데
30,스스로
31,잘하자녀
32,안데렐라
34,궁금한
36,이쏘
37,내가
38,그때
39,영국에서
40,보낸거
41,클렌징
42,워터
43,잘못
44,왔자나
45,그거
46,어케
47,했어
49,그거
50,부대잇는
51,애들
52,주고왓지
54,택배사랑
55,원래
56,주인한테
57,연락옴
59,아니
60,갑자기
61,갤러리
62,보다가
63,궁금해졌어
64,으아아아
65,성호
67,오늘
69,수강신청이야
71,했어
73,성공햇어
74,우린
75,늦게
78,잡을게
79,없어
80,아니
81,전공기초
82,학년
83,잡고
84,정정기간에
85,잡으래
86,말이야
87,방구야
88,성호야
89,근데
90,너네
91,부대
92,택배
93,맨날
94,안찾아가
97,택배
98,받는
99,애들이
100,매일
101,가져다
102,줫어
103,자리까지
104,정문지키는
105,위경소
106,애들이
108,너넨
109,다르겠다
110,군대
111,아니니까
112,그치
113,죽을래
114,아니
115,아니
116,팩트로
117,창석이한테
118,받아가라
120,경찰서
121,자나
122,서프라이즈
123,말고
124,그냥
125,말해줘
127,앙대는데
129,아니
131,오늘은
132,찾아갈
133,기회
134,끝난
135,거야
136,이럼
137,진짜
138,저런
139,절차도
140,배송조회에
141,뜨는거
142,첨봄
144,의경이라
145,거바
148,군인
149,아니네
151,당영
152,근데
153,받긴
154,하지
155,오늘
156,아님
157,내일
158,받겟지
159,아마
160,오늘
161,못받지
162,않냐
164,내일
165,당직인데
166,어제도
167,당직이라
168,지금
169,죽었고
170,망이다
172,부대에
173,전화해서
174,빼액
175,거려
186,이거
187,전하라고
188,오늘
189,내로
191,나도
192,알건
193,알아
194,안그럼
196,뒤집는다고
204,저번에는
205,간부
206,택밴줄
207,알고
208,나한테
209,전화
210,왔는데
212,번호
213,적어서
214,그런
216,보면
217,자기가
218,가져가야
219,되는
221,같지
224,창석
225,간부님
226,택배
227,찾아가셔야
230,같습니다
231,이래서
232,내가
235,상병인데욬
237,쪼갬
238,간부꺼라
239,못건든거
240,아님
242,그런가
243,근데
244,저거
245,보면
246,이미
247,글럿어
248,언제
249,받든
251,받는게
252,둥요
253,하지
254,괜차녀
255,늦으면
256,부질업써
261,진짜
263,웃기지
264,않냐
265,의욕
266,없는
267,고삼들
299,좀비두마리넼
302,이건
303,어디서
305,대박다
308,전이야
310,개웃기넼
324,폰에
325,있움
327,물어볼까
328,말까
330,카아아
332,토오오옥도
333,왔다
334,아니
335,성호야
336,걔네
337,부대는
338,무슨
339,양아치
340,부대여
341,우체국
342,부대안에
343,있어서
344,자기가
345,찾아간대
346,그래서
347,서프라이즈
348,개똥망
349,실패해따
352,어제
353,내일도
354,못가져
355,갈까봐
356,내가
357,이것저것
358,묻다가
360,들켰어
361,좋아하더라
374,들킬
376,알았다
378,궁금해서
379,못참고
380,물어볼
382,눈에
383,훤햇다
385,아니
386,근데
387,내가
389,안했으면
390,거기서
391,썩을
392,뻔했어
394,창석이
395,눈치
396,없는
398,하기도
399,힘들
400,엇겟다
401,떵호얌
403,노로바이러스
404,걸려서
406,토하고
410,너두
411,조심해
413,우리
414,성호
415,시절
417,시절이라니
418,인데
425,알지
426,알지
429,알바
430,이틀
431,남앗다
433,떵호야
434,알바
435,갔오
436,알바
437,가야
438,되는데
439,웨케
440,늦게
441,자써
443,너무
444,속상해
446,무슨
447,일이야
449,이따
450,천안갈까
451,뭔일
452,생겻어
454,구냥
456,일단
457,운동하께
459,화이팅
460,일단
461,운동
462,빡시게
473,운동
475,헤헤헤헤
476,집가서
477,크런치
480,해야징
482,아니
483,전창석
485,아니
486,그냥
487,나한테
488,짜증나
490,이따
491,약속이
494,뭐얔
495,내일은
496,안되나
498,어제
499,밤새서
500,지금
501,눈뜬지
502,시간
503,경과중
504,친구
505,휴가
506,나와서
507,밤새고
508,알바
509,나옴
512,진짜
513,미치겠다
514,기절
515,직전
516,그래서
517,늦게
518,잤구나
519,살아이써
520,정신력
521,끝내주지
522,내일
523,약속잇어
524,오늘은
526,집가서
527,바로
528,뻗응
530,같다
531,성호
532,어제
534,주거써
540,오늘은
542,갠차나
543,어제
545,잤지
546,귿굳
547,운동
548,하나
551,이제
552,운동
553,끝났댜
555,낼도
556,출근
559,낼이
560,마지막
561,알바다
562,야호
563,씐나
565,떵아
567,오늘
568,천안가까
569,아니야
571,열심히
572,이겨내보께
574,너무
575,힘들다
576,싶으면
577,언제든지
578,말해
579,진짜
580,창석이
581,때문에
582,기분
583,너무
585,같다
586,싶으면
587,내가
588,가줄게
593,성호야
595,이제
596,어리광
597,그만하려고
599,어른
600,된다
601,조만간
605,어른
606,된다
608,어른이야
610,어리광이야
611,성호야
613,이런
614,친구
615,잇어야
616,재밋음
618,그니까
623,그래
625,이제
626,퇴근해
629,지금
630,동재
631,만나러
632,가는
638,익숙하다
639,저기
640,진짜
643,점빼러
644,가야징
645,저기
646,너의
649,홈그라
650,윤드자나
651,떵호
652,기엽넹
654,성호야
655,창석이가
656,자기
657,생각
658,정리하구
659,이따
660,전화준대
661,무슨
663,할까
666,이제
667,안본다
668,하면
669,어카지
670,엉엉
671,그건
672,아니겟딬
675,사귀자
676,다시
679,아님
683,정말
684,사랑해
685,사귀자
686,미쳤나봐
688,그냥
689,친구로
690,지내자
693,게이야
695,가능성
696,조금
697,있지
699,아니
700,성호야
701,얘가
702,그니까
706,여친이
707,진짜
708,똑똑해
709,근데
711,동재
712,만나지
714,이야기
715,진짜
716,힘빠지고
717,서영스러운
718,이야기라
720,잼께
721,놀아
722,일단
732,개궁금하네
734,항상
735,재밋어
736,새로워
737,미쳤나봐
740,새로운
742,퍼토리야
743,엉엉
744,울엇어
745,성호야
746,너무
747,비참해
749,여친
752,널울려
754,아니
756,창석이가
758,인스타
759,팔로를
760,예전에
761,끊었다
764,근데
765,여친은
766,그거
767,몰랐나바
768,창석이가
770,올리면
771,좋아요
772,누르고
773,그러더라고
774,근데
775,알았는지
776,지도
777,팔로
778,끊더라
779,그러더니
781,인스타가
782,비공이였는데
783,공개로
784,돌리고
786,지우고
787,새로
790,근황을
791,셀카랑
793,잔뜩
794,올려대는겨
796,진짜
797,무섭지
798,않냐
799,창석이
800,보고
801,그거
802,보고
803,미련
804,남아라
805,이러는
806,거잖아
807,완전
808,근데
809,어제
810,아침에
811,창석이가
812,걔가
813,올린거에
814,좋아요를
815,눌렀대
816,내가
817,너무
818,화가
819,나는
820,거야
821,속상하고
824,여친이
825,전창석
827,갖고
828,노는
830,꼬라지며
831,그리고
833,프로필에
834,니가
835,행복했음
836,좋겠다
837,기도
838,이모티콘
839,이딴
841,스토리
842,하이라이트
843,남겨두고
844,아니
845,쿨몽둥이로
846,싸그리
849,맞아야
851,그냥
852,무시하면
853,되는
855,아니야
856,아니
859,하나에
861,창석이
862,좋아요
864,휘말리냐
866,눌렀다니까
868,너도
869,모르게
871,알지
872,창석이한테
874,눌럿는지
875,물어봄
876,아니
877,내가
878,그럴
879,애냐
880,그냥
881,혼자
882,생각을
883,막했어
884,창석이
885,페메도
887,씹고
888,그렇게
890,멘탈이
891,나가있는데
892,들어봐
893,성호
894,나의
895,마음은
896,내가
897,얘랑
899,사귀는
900,것도
901,아니고
902,근데
903,우리는
904,사귀는
905,것처럼
906,하고
907,그치
908,내가
909,얘한테
910,걔한테
911,그러지
912,말라고
913,말할
915,있는
916,사람일까
917,그렇다고
918,사귀기는
919,겁나고
920,근데
922,보고는
923,싶고
924,걔네
925,둘이
926,지랄하는
928,내가
929,휘말려든
930,기분이
933,때매
935,멘탈
936,나가서
937,혼자
938,있는데
939,내가
940,너무
941,서러운거
942,내가
944,이러나
945,싶고
946,근데
948,창석이
949,걱정도
950,되고
951,미안하고
952,내가
953,너무
954,유치한거
955,같고
956,나한테
957,화나고
958,몰라
960,그걸
961,반복했어
962,창석이가
964,뭔일
965,있는
967,눈치챘겠지
968,근데
969,내가
970,계속
972,안했어
973,전화했을때도
974,얘도
975,어제
976,힘든
978,많고
979,그래서
980,그래서
981,그냥
982,일상적인
983,대화하다가
984,내가
985,자기
986,직전에
987,약간
988,얘기를
989,했단
990,말야
991,내가
992,보여줌
996,내가
997,너무
998,화났던게
999,내가
1000,짜증나
1001,전창석
1002,저거
1003,보내고
1004,얘가
1005,저거
1006,읽고
1007,데이터
1008,끄고
1009,그냥
1010,잔거야
1011,근데
1012,내가
1013,다시
1014,읽어보니까
1015,얘가
1016,무슨
1018,하는지
1019,알거
1020,같아서
1021,생각
1022,곰곰히
1023,하고
1024,다시
1025,페메를
1026,했어
1030,그리고
1031,지금
1032,상황이야
1033,성호야
1034,우리
1035,어카지
1037,창석이한테
1038,좋은
1039,사람이고만
1040,싶고
1041,조금
1042,어른스럽고
1043,그러고
1044,싶은
1046,안하고
1047,그랬던
1048,것도
1049,너무
1050,유치하고
1051,아아
1052,아아아아아아
1053,얘는
1055,좋아하는
1056,감정이
1058,안들어도
1059,일단
1060,잘해주고
1061,그런단
1062,말야
1063,상처주기
1064,싫어해서
1065,근데
1066,나한테는
1067,안그랬으면
1068,좋겠어
1069,근데
1070,계속
1072,옆에
1073,있어줬으면
1074,좋겠긴
1075,하거든
1076,근데
1077,얘가
1079,그런
1080,실수
1081,반복
1082,안하고
1085,성장하고
1086,그걸
1087,응원해주고
1088,싶어
1089,그럴라면
1090,우리는
1092,이상
1093,이러면
1094,안되는데
1095,얘도
1096,그럴
1097,자신이
1098,없다
1099,하고
1101,몰라
1102,몰라
1103,일단
1105,유치한
1107,아니라
1108,저번에도
1109,이런
1110,비슷한
1111,경우
1112,있어서
1113,니가
1114,창석이한테
1116,여친
1117,때문에
1118,휘둘리는
1120,좆같다고
1121,말햇는데
1122,창석이는
1123,아직도
1124,그러니까
1126,화날만해서
1127,그런
1128,거고
1129,그리고
1130,창석이가
1131,아무리
1132,착해도
1133,아직도
1135,여친한테
1136,휘둘리는게
1137,솔직히
1138,내가
1139,봤을
1141,마음이
1142,아예
1143,없어서
1144,그렇게
1145,행동하는
1147,아닌
1149,같거든
1150,진짜
1152,좋아하면
1154,여친이
1156,하든
1157,신경
1158,끄고
1159,너랑
1160,그냥
1161,평소대로
1162,해야지
1163,휘둘린다
1165,계속
1166,사건이
1167,생긴다
1168,이건
1169,그냥
1170,창석이가
1171,착한
1172,것도
1173,잇겟지만
1174,아직
1175,마음
1176,남아있지
1177,않고서야
1178,그렇게
1179,행동
1180,못해
1181,생각나는
1182,거지
1183,계속
1185,여친이
1186,아니면
1187,진짜
1188,생각존나
1189,없는
1190,순진함
1191,이거나
1192,멍청하거나
1193,근데
1194,멍청이는
1195,아닌
1197,같고
1198,생각
1199,없는
1200,것도
1201,아닌
1203,같은데
1205,같은
1206,남자로서
1207,먼저
1208,말한
1209,것에
1212,점수를
1215,여친
1216,조금
1217,생각난다는
1218,거에
1219,맞지
1220,생각나겠지
1222,잊는
1224,엄청
1225,힘들어해
1227,아는데
1228,이해할라
1229,하는데
1230,화나
1231,솔직하게
1232,말해서
1233,너가
1234,그렇게
1235,잘해주는데
1236,아직도
1238,여친한테
1239,생각난다
1241,정도면
1243,여친
1245,잊으면서
1247,여친
1248,쪽으로
1249,마음이
1252,기운다는
1254,같다
1255,솔직히
1256,사람들
1259,나도
1260,그렇고
1262,존나
1263,좋아하주고
1264,잘해쥬는
1265,사람보다
1266,자기가
1267,좋아하는
1268,사람이
1270,생각나고
1271,그러는데
1273,생각은
1274,냉정하게
1275,말해서
1276,이렇고
1277,창석이가
1279,있다
1280,생각
1281,정리해서
1282,말해준다니까
1284,애매하게
1285,말을
1286,하면
1287,그냥
1288,너만
1290,답답해지는
1291,거지
1293,그치
1295,근데
1296,나도
1297,사실
1298,놓으라면
1299,놓을
1301,같고
1302,확신이
1303,없는데
1304,계속
1305,우리가
1306,만나고
1307,그렇게
1308,행동하니까
1310,성격상
1311,계속
1312,맘이
1313,가고
1314,신경쓰이겨든
1315,그럼
1316,멈춰야지
1317,떵호야
1321,창석이
1322,연락와써
1323,갠차노
1325,옮기고
1327,다시
1328,천안
1329,내려가는중
1331,성호야
1333,다음주
1334,토요일에
1335,너네
1336,집에서
1337,잘게
1340,그때
1341,아플것
1342,같이서
1344,힘들어
1353,진짜
1355,알앗옹
1357,밖에서
1358,잔다
1359,담주
1360,토요일이면
1364,근데
1366,안잘수도
1368,창석이
1369,아앜
1371,창석이
1373,나와
1374,거의
1375,의경급인데
1376,지금
1377,서울
1378,도착
1380,아니
1381,아니
1382,성호
1383,이따
1385,안바쁠
1387,저나하면
1388,안돼
1390,우리
1391,귀여운
1392,예주보고
1393,개강
1394,힘내
1395,성호야
1397,귀여운
1398,서영이도
1402,예주
1403,목소리가
1404,내가
1405,생각한
1406,그게
1407,아니네
1408,엄청
1409,어린
1410,목소릴
1412,알앗는데
1413,대박
1414,창석이가
1415,아깝다
1416,창석이
1417,병장
1425,내가
1426,아깝지
1429,병장도
1430,아니야
1432,담주에
1433,병장임
1434,근데
1436,병장
1437,약장을
1438,달지
1439,신고합니다
1440,세갠데요
1441,군알
1443,성호씨
1445,군대는
1446,갔다
1447,왔나
1449,개로
1450,보잌
1453,개강오때
1455,강의실
1456,헤매는
1457,주유
1460,뭔데
1461,학교
1462,빛나냐
1463,새로
1464,지은
1465,건물
1467,지리를
1468,몰라
1476,나도
1477,설캠에
1478,새로
1479,지은
1480,건물
1481,있는데
1483,일이
1484,없네
1486,오늘
1487,수업만
1489,근데
1490,하나
1491,잘못
1492,신청함
1494,이게
1495,몬소리야
1496,나도
1497,내일
1499,다섯개
1500,성호
1501,시간표
1502,구경해야지
1507,나랑
1508,에타친구잖아
1509,오늘
1510,멘탈
1511,깨져가지고
1512,수업
1513,학년
1515,배웟던
1516,내용
1517,나오는데
1518,아무것도
1519,모르겟어서
1520,진짜
1521,멘탈바사삭
1530,아니
1531,오늘
1532,수업했어
1533,아니
1535,시간표
1536,미쳤는데
1539,근데
1540,화목으로
1541,하나
1542,옮길라고
1543,내일
1544,교수님한테
1545,말씀드리러
1546,가야지
1550,가능해
1552,화목으로
1553,하나
1554,옮기면
1555,월수
1556,화목
1557,싸강
1558,시험기간
1560,힘들긴
1561,하겟지
1564,완전
1566,빠꾸
1567,없어
1569,수업
1570,비비기
1571,성공
1572,오우양
1577,잘해
1579,성호야
1581,예주
1582,입시설명회
1583,듣는데
1584,너나
1585,시킬껄
1587,아직도
1588,안끝났다
1590,언제
1591,가냐
1592,미쳤다
1596,키킼
1598,시키지
1600,벌게
1602,미세먼지
1603,정말
1604,미쳤어
1606,너무
1607,아파
1612,그치
1613,나도
1614,느꼈어
1615,진짜
1616,너무
1617,심해
1619,성호
1620,학교
1621,가지마
1624,인싸영역에
1625,들어서야지
1626,항상
1627,모든
1629,마치고
1631,들어가면
1632,필수
1633,샤워
1634,먼지
1635,씻어
1636,내야함
1643,나두
1644,이제
1645,저녁에
1646,씻을까
1647,진짜
1648,오바인
1650,같아
1652,아침에
1653,씻는데
1654,먼지랑
1655,자는
1656,기분
1657,나도
1658,원래
1659,아침
1660,샤워런데
1661,저녁에
1662,먼지
1663,씻어
1664,내야
1665,한다고
1666,해서
1669,오전수업
1670,괜히
1671,햇다
1674,싫어
1683,설마
1684,교시임
1687,운동
1689,학기중에도
1690,운동하는
1691,당신른
1693,학생
1694,인정
1695,합니다
1699,개강
1700,너무
1701,힘들다
1703,나도
1704,첫수업
1705,듣자마자
1706,수업
1707,듣기
1708,싫엉
1709,떵호야
1711,복학생인데
1712,신나야지
1713,어제
1714,형후배들이랑
1715,오랜만에
1718,많이
1719,먹엇네
1723,쫌만
1724,먹어
1725,앞으로도
1726,먹어야대
1727,근데
1728,오랜만에
1729,많이
1730,먹는데
1731,개잘
1732,들어가더라
1733,주량
1734,그냥
1735,넘었는데
1736,계속
1737,먹엇어
1738,오늘도
1739,먹어
1740,개총
1748,술꾼이야
1750,너네
1752,강남역에서
1753,멀어
1754,지하철로
1756,벙도
1757,걸리네
1758,후아아아암
1760,진짜
1761,너네
1762,집에서
1763,자도
1765,토욜에
1766,부모님
1767,언제
1768,오셔
1769,낮에
1770,오실걸
1772,서울은
1773,시에
1774,결혼식이라
1775,이때
1776,오거
1777,자취방을
1778,올지
1779,안올지
1780,모르것네
1781,근데
1783,어차
1785,저녁에
1786,올거
1787,아냐
1790,고이
1792,간직해놔라
1793,진짜
1794,추억이다
1795,개총
1796,헬파티다
1797,도망나옴
1805,벌써
1806,나왔다고
1810,잠깐
1811,바람
1813,나왓다가
1814,어제
1815,차까지
1822,노네
1823,성호
1825,성호
1826,설마
1827,학교
1828,갔어
1829,아닠
1830,금공강
1832,시간표
1833,몬데
1837,아니
1838,아니
1839,그니까
1840,저거
1841,봤지
1843,금욜에
1844,수업인쥴
1846,금욜에
1847,넣어
1848,노은거
1849,싸강이야
1850,오늘
1851,시에
1852,침대
1853,온대
1854,개꿀
1855,아항
1856,아니
1858,침대
1859,아직두
1860,안왔었냐
1869,원래
1870,담주에
1871,온다
1872,햇는데
1873,어제
1874,전화
1875,왓더리
1876,그게
1877,어디야
1879,이거
1880,내가
1881,보낸
1882,기억이
1883,없는데
1884,누가
1885,보냇지
1888,저게
1890,개소리야
1908,누가
1909,바쁘다는
1910,거야
1914,아니
1915,아니
1917,과개총하면
1918,원래
1919,차때
1920,동아리로
1921,나뉜단
1922,말이야
1923,내가
1924,동아리
1926,분데
1927,그래서
1929,못먹고
1930,신입생
1931,인솔하고
1932,관리하느라
1934,하나도
1935,못먹고
1936,이래서
1937,엉엉엉
1945,신입생
1947,보내고
1950,너무
1951,화나서
1952,선배들이랑
1953,개먹엇거든
1954,그때
1955,취햇나봐
1956,시간대가
