,chat
0,원을
1,받으세요
3,받기
4,완료
5,받은
6,페이머니로
7,결제
8,투자
9,송금
10,이용하면
11,리워드를
12,받을
14,있어요
15,레드
16,서영
17,오늘
18,얼마
19,나왔어요
20,저녁
21,유닛으
23,어제
24,뻗었어여
26,노트북
27,괜히
28,들고
31,레드
32,서영이라고
33,불러서
34,안알려줄
35,거에요
36,아싸
38,얼렁
39,알려줘용
41,계싼
42,지금
43,할게여
46,나왔는데
47,만원만
48,주세여
49,알겠져
50,김채은님이
51,돈을
52,보냈어요
53,받는
54,사람
55,홍서영
56,받을
57,금액
59,입금
60,기한
62,까지
63,감사합니다
65,쓸게요
66,다시
67,돌려줘요
70,홍서영님이
71,돈을
72,보냈어요
73,김채은님이
74,돈을
75,보냈어요
76,받는
77,사람
78,홍서영
79,받을
80,금액
82,입금
83,기한
85,까지
87,쓰겠습니다
88,채은
89,학생
90,일을
91,열심히
92,하세요
93,서영학생
94,우리
95,연구실과는
96,안맞는
98,같네요
99,수업에서
100,봅시다
101,잘됐네요
102,교수님
103,수업
104,진짜
105,별로였어요
106,튕기지
107,마세요
108,에타
109,별점
111,준거
112,사실
113,접니다
114,스깔라
115,마카롱
116,어떻게
117,됏어요
119,유니쭈
127,프사
129,귀엽네영
130,그거
131,해리슨
132,몇개
133,주고
134,몇개
135,남았을
136,걸요
140,예쁘죵
141,우왕
142,이쁘다
144,얼른
145,돌아와요
146,휴먼으로
148,유니스
149,보고
150,싶어요
152,내일
153,맛난
155,먹어용
156,히히
158,놀다가
159,지금
160,들어왔어용
163,스깔라
164,출근해야죠
167,유니스
170,이제
171,출근해요
172,출근했슈
173,이제야
174,출발해요
176,저는
177,지금
178,약수입니당
180,그럼
183,도착이에요
186,분쯤
188,그러면
190,출입문
191,열어주세요
192,카드
193,놓고
194,왔슈
198,행동
199,잘하면
200,열어줄게요
203,어떻게
204,해야
205,하는
206,거죠
210,어디에요
212,층이요
213,좀만
214,존버해볼까여
216,내려가줄게요
218,테드가
219,열어줬어여
220,유니쓰
221,보고
222,싶네여
226,정도면
227,상사병이네요
228,김채은님이
229,돈을
230,보냈어요
231,받는
232,사람
233,홍서영
234,받을
235,금액
237,입금
238,기한
240,까지
248,윤이쭈
249,공부하기
250,싫은데
251,어카져
256,옆에서
257,누가
258,혼내야
259,되는데
260,공부하라고
261,테드랑
262,페어하면
263,잘될텐데
264,공부
275,거절하겠습니다
276,그냥
277,제가
279,칠게여
285,말해야지
286,얼른
287,열공해요
288,벌금
289,내기전에
291,아니이
292,벌금이
293,뭐냐구여
294,얼른
295,벌금
296,체계
297,잡아줘요
298,홍총무
299,유니쓰
301,머해여
303,별거
304,안해요
305,머신러
307,스터디
308,오늘이구나
310,오늘
311,머해여
312,오늘
313,강의
314,듣기
319,저랑
320,같이
321,할래요
323,공부해야
324,되는데
325,학교
326,도서관
327,공사중이에여
328,그럴까요
330,근데
332,저녁때부터
333,돼요
336,시쯤
338,유니쯔
340,지금
341,성신
342,여대쪽
343,카페가는데
344,이따
345,그럼
346,다섯시에
347,저녁
348,먹고
349,공부할래여
351,조아요
352,성신
353,여대
354,어디
355,카페요
